x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
x coords,Y coords
548,388
