Detection Score,Bbox X,Bbox Y,Bbox X max,Bbox Y max
0.8372368216514587,0.6341094970703125,0.5626330375671387,0.3447607755661011,0.45965325832366943
Detection Score,Bbox X,Bbox Y,Bbox X max,Bbox Y max
0.8372368216514587,0.6341094970703125,0.5626330375671387,0.3447607755661011,0.45965325832366943
Detection Score,Bbox X,Bbox Y,Bbox X max,Bbox Y max
0.8372368216514587,0.6341094970703125,0.5626330375671387,0.3447607755661011,0.45965325832366943
Detection Score,Bbox X,Bbox Y,Bbox X max,Bbox Y max
0.8372368216514587,0.6341094970703125,0.5626330375671387,0.3447607755661011,0.45965325832366943
Detection Score,Bbox X,Bbox Y,Bbox X max,Bbox Y max
0.8372368216514587,0.6341094970703125,0.5626330375671387,0.3447607755661011,0.45965325832366943
Detection Score,Bbox X,Bbox Y,Bbox X max,Bbox Y max
0.8372368216514587,0.6341094970703125,0.5626330375671387,0.3447607755661011,0.45965325832366943
Detection Score,Bbox X,Bbox Y,Bbox X max,Bbox Y max
0.8372368216514587,0.6341094970703125,0.5626330375671387,0.3447607755661011,0.45965325832366943
Detection Score,Bbox X,Bbox Y,Bbox X max,Bbox Y max
0.8372368216514587,0.6341094970703125,0.5626330375671387,0.3447607755661011,0.45965325832366943
Detection Score,Bbox X,Bbox Y,Bbox X max,Bbox Y max
0.8372368216514587,0.6341094970703125,0.5626330375671387,0.3447607755661011,0.45965325832366943
Detection Score,Bbox X,Bbox Y,Bbox X max,Bbox Y max
0.8372368216514587,0.6341094970703125,0.5626330375671387,0.3447607755661011,0.45965325832366943
Detection Score,Bbox X,Bbox Y,Bbox X max,Bbox Y max
0.8372368216514587,0.6341094970703125,0.5626330375671387,0.3447607755661011,0.45965325832366943
Detection Score,Bbox X,Bbox Y,Bbox X max,Bbox Y max
0.8372368216514587,0.6341094970703125,0.5626330375671387,0.3447607755661011,0.45965325832366943
Detection Score,Bbox X,Bbox Y,Bbox X max,Bbox Y max
0.8372368216514587,0.6341094970703125,0.5626330375671387,0.3447607755661011,0.45965325832366943
Detection Score,Bbox X,Bbox Y,Bbox X max,Bbox Y max
0.8372368216514587,0.6341094970703125,0.5626330375671387,0.3447607755661011,0.45965325832366943
Detection Score,Bbox X,Bbox Y,Bbox X max,Bbox Y max
0.8372368216514587,0.6341094970703125,0.5626330375671387,0.3447607755661011,0.45965325832366943
Detection Score,Bbox X,Bbox Y,Bbox X max,Bbox Y max
0.8372368216514587,0.6341094970703125,0.5626330375671387,0.3447607755661011,0.45965325832366943
Detection Score,Bbox X,Bbox Y,Bbox X max,Bbox Y max
0.8372368216514587,0.6341094970703125,0.5626330375671387,0.3447607755661011,0.45965325832366943
Detection Score,Bbox X,Bbox Y,Bbox X max,Bbox Y max
0.8372368216514587,0.6341094970703125,0.5626330375671387,0.3447607755661011,0.45965325832366943
Detection Score,Bbox X,Bbox Y,Bbox X max,Bbox Y max
0.8372368216514587,0.6341094970703125,0.5626330375671387,0.3447607755661011,0.45965325832366943
Detection Score,Bbox X,Bbox Y,Bbox X max,Bbox Y max
0.8372368216514587,0.6341094970703125,0.5626330375671387,0.3447607755661011,0.45965325832366943
Detection Score,Bbox X,Bbox Y,Bbox X max,Bbox Y max
0.8372368216514587,0.6341094970703125,0.5626330375671387,0.3447607755661011,0.45965325832366943
Detection Score,Bbox X,Bbox Y,Bbox X max,Bbox Y max
0.8372368216514587,0.6341094970703125,0.5626330375671387,0.3447607755661011,0.45965325832366943
Detection Score,Bbox X,Bbox Y,Bbox X max,Bbox Y max
0.8372368216514587,0.6341094970703125,0.5626330375671387,0.3447607755661011,0.45965325832366943
Detection Score,Bbox X,Bbox Y,Bbox X max,Bbox Y max
0.8372368216514587,0.6341094970703125,0.5626330375671387,0.3447607755661011,0.45965325832366943
Detection Score,Bbox X,Bbox Y,Bbox X max,Bbox Y max
0.8372368216514587,0.6341094970703125,0.5626330375671387,0.3447607755661011,0.45965325832366943
Detection Score,Bbox X,Bbox Y,Bbox X max,Bbox Y max
0.8372368216514587,0.6341094970703125,0.5626330375671387,0.3447607755661011,0.45965325832366943
Detection Score,Bbox X,Bbox Y,Bbox X max,Bbox Y max
0.8372368216514587,0.6341094970703125,0.5626330375671387,0.3447607755661011,0.45965325832366943
Detection Score,Bbox X,Bbox Y,Bbox X max,Bbox Y max
0.8372368216514587,0.6341094970703125,0.5626330375671387,0.3447607755661011,0.45965325832366943
Detection Score,Bbox X,Bbox Y,Bbox X max,Bbox Y max
0.8372368216514587,0.6341094970703125,0.5626330375671387,0.3447607755661011,0.45965325832366943
Detection Score,Bbox X,Bbox Y,Bbox X max,Bbox Y max
0.8372368216514587,0.6341094970703125,0.5626330375671387,0.3447607755661011,0.45965325832366943
Detection Score,Bbox X,Bbox Y,Bbox X max,Bbox Y max
0.8372368216514587,0.6341094970703125,0.5626330375671387,0.3447607755661011,0.45965325832366943
Detection Score,Bbox X,Bbox Y,Bbox X max,Bbox Y max
0.8372368216514587,0.6341094970703125,0.5626330375671387,0.3447607755661011,0.45965325832366943
Detection Score,Bbox X,Bbox Y,Bbox X max,Bbox Y max
0.8372368216514587,0.6341094970703125,0.5626330375671387,0.3447607755661011,0.45965325832366943
Detection Score,Bbox X,Bbox Y,Bbox X max,Bbox Y max
0.8372368216514587,0.6341094970703125,0.5626330375671387,0.3447607755661011,0.45965325832366943
Detection Score,Bbox X,Bbox Y,Bbox X max,Bbox Y max
0.8372368216514587,0.6341094970703125,0.5626330375671387,0.3447607755661011,0.45965325832366943
Detection Score,Bbox X,Bbox Y,Bbox X max,Bbox Y max
